קובץ,פלטפורמה,מטרה,מידות
logos/svg/tzir-logo-horizontal-color.svg,כללי ודפוס,לוגו ראשי צבעוני,וקטור
logos/svg/tzir-logo-horizontal-white.svg,כללי ודפוס,לוגו לבן לרקע כהה,וקטור
logos/svg/tzir-logo-stacked-color.svg,כללי,לוגו אנכי,וקטור
logos/svg/tzir-symbol-color.svg,כללי,הסמל בלבד,וקטור
logos/png/tzir-logo-horizontal-color-2400.png,דפוס ומצגות,לוגו שקוף גדול,2400x720
logos/png/tzir-logo-horizontal-color-600.png,דוא״ל ומסמכים,לוגו שקוף קטן,600x180
favicon/favicon.ico,אתר,פאביקון רב גדלים,16 עד 64
favicon/apple-touch-icon-180.png,Apple,אייקון למסך הבית,180x180
favicon/site-icon-512.png,WordPress,Site Icon,512x512
whatsapp/whatsapp-profile-640.png,WhatsApp Business,תמונת פרופיל,640x640
whatsapp/whatsapp-business-card-1080x1350.jpg,WhatsApp,כרטיס ביקור לשליחה,1080x1350
whatsapp/whatsapp-status-1080x1920.jpg,WhatsApp Status,סטטוס שיווקי,1080x1920
whatsapp/whatsapp-wallpaper-premium-1440x2560.jpg,WhatsApp,רקע שיחה או מכשיר,1440x2560
google/google-business-logo-720.png,Google Business,לוגו הכרטיס,720x720
google/google-review-request-1080x1350.jpg,Google Reviews,בקשת ביקורת לשיתוף,1080x1350
google/google-real-photo-overlay-template-720.png,Google Business,שכבת מותג לצילום אמיתי,720x720
instagram/instagram-profile-1080.png,Instagram,תמונת פרופיל,1080x1080
instagram/instagram-feed-1080x1350.jpg,Instagram Feed,פוסט היכרות,1080x1350
instagram/instagram-story-1080x1920.jpg,Instagram Story,סטורי,1080x1920
instagram/highlights,Instagram,שש עטיפות Highlights,1080x1080
social/social-cover-1920x1080.jpg,כללי,רקע מצגות וקמפיינים,1920x1080
social/open-graph-1200x630.jpg,אתר ורשתות,תצוגת קישור,1200x630
print/business-card-front-96x56mm-300dpi.png,דפוס,כרטיס ביקור קדמי עם גלישה,1134x661
print/business-card-back-96x56mm-300dpi.png,דפוס,כרטיס ביקור אחורי עם גלישה,1134x661
